id,session_id,timestamp,hex_id,data
17357,23,1756868235069,0x201,00 00 00 00
17358,23,1756868235069,0x202,00 00
17359,23,1756868235069,0x220,00
17360,23,1756868235069,0x3f2,00
17361,23,1756868235102,0x200,03 45 00 00 00 00
17362,23,1756868235102,0x201,00 00 00 00
17363,23,1756868235102,0x202,00 00
17364,23,1756868235102,0x220,00
17365,23,1756868235102,0x3f2,00
17366,23,1756868235136,0x200,03 56 00 00 00 00
17367,23,1756868235136,0x201,00 00 00 00
17368,23,1756868235136,0x202,00 00
17369,23,1756868235136,0x220,00
17370,23,1756868235136,0x3f2,00
17371,23,1756868235170,0x200,03 67 00 00 00 00
17372,23,1756868235170,0x201,00 00 00 00
17373,23,1756868235170,0x202,00 00
17374,23,1756868235170,0x220,00
17375,23,1756868235170,0x3f2,00
17376,23,1756868235204,0x200,03 74 00 00 00 00
17377,23,1756868235204,0x201,00 00 00 00
17378,23,1756868235204,0x202,00 00
17379,23,1756868235204,0x220,00
17380,23,1756868235204,0x3f2,00
17381,23,1756868235238,0x200,03 7F 00 00 00 00
17382,23,1756868235238,0x201,00 00 00 00
17383,23,1756868235238,0x202,00 00
17384,23,1756868235238,0x220,00
17385,23,1756868235238,0x3f2,00
17386,23,1756868235272,0x200,03 84 00 00 00 00
17387,23,1756868235272,0x201,00 00 00 00
17388,23,1756868235272,0x202,00 00
17389,23,1756868235272,0x220,00
17390,23,1756868235272,0x3f2,00
17391,23,1756868235307,0x200,03 83 00 00 00 00
17392,23,1756868235307,0x201,00 00 00 00
17393,23,1756868235307,0x202,00 00
17394,23,1756868235307,0x220,00
17395,23,1756868235307,0x3f2,00
17396,23,1756868235341,0x200,03 7C 00 00 00 00
17397,23,1756868235341,0x201,00 00 00 00
17398,23,1756868235341,0x202,00 00
17399,23,1756868235341,0x220,00
17400,23,1756868235341,0x3f2,00
17401,23,1756868235374,0x200,03 72 00 00 00 00
17402,23,1756868235374,0x201,00 00 00 00
17403,23,1756868235374,0x202,00 00
17404,23,1756868235374,0x220,00
17405,23,1756868235374,0x3f2,00
17406,23,1756868235407,0x200,03 63 00 00 00 00
17407,23,1756868235407,0x201,00 00 00 00
17408,23,1756868235407,0x202,00 00
17409,23,1756868235407,0x220,00
17410,23,1756868235407,0x3f2,00
17411,23,1756868235441,0x200,03 52 00 00 00 00
17412,23,1756868235441,0x201,00 00 00 00
17413,23,1756868235441,0x202,00 00
17414,23,1756868235441,0x220,00
17415,23,1756868235441,0x3f2,00
17416,23,1756868235476,0x200,03 42 00 00 00 00
17417,23,1756868235476,0x201,00 00 00 00
17418,23,1756868235476,0x202,00 00
17419,23,1756868235476,0x220,00
17420,23,1756868235476,0x3f2,00
17421,23,1756868235510,0x200,03 33 00 00 00 00
17422,23,1756868235510,0x201,00 00 00 00
17423,23,1756868235510,0x202,00 00
17424,23,1756868235510,0x220,00
17425,23,1756868235510,0x3f2,00
17426,23,1756868235544,0x200,03 28 00 00 00 00
17427,23,1756868235544,0x201,00 00 00 00
17428,23,1756868235544,0x202,00 00
17429,23,1756868235544,0x220,00
17430,23,1756868235544,0x3f2,00
17431,23,1756868235577,0x200,03 21 00 00 00 00
